timestamp,symbol,price,mean,deviation,lower_bound,upper_bound
2025-06-15 19:52:32,BCH/USDT,459.4,459.905,0.505,459.4428,460.3672
2025-06-15 19:54:37,BCH/USDT,461.2,459.91,1.29,458.9927,460.8273
2025-06-15 19:54:58,ETH/USDT,2551.3,2548.62,2.68,2546.005,2551.235
2025-06-15 19:58:15,LTC/USDT,86.1,86.143,0.043,86.1008,86.1852
2025-06-15 19:59:49,BCH/USDT,462.8,461.195,1.605,460.1236,462.2664
2025-06-15 19:59:59,BCH/USDT,463.5,461.32,2.18,459.6526,462.9874
2025-06-15 20:00:51,BTC/USDT,105529.42,105559.7075,30.2875,105531.047,105588.368
2025-06-15 20:01:12,LTC/USDT,85.95,86.0805,0.1305,85.97,86.191
2025-06-15 20:03:47,ETH/USDT,2552.58,2550.454,2.126,2548.5311,2552.3769
2025-06-15 20:04:39,XRP/USDT,2.1645,2.1658,0.0013,2.1646,2.1671
2025-06-15 20:07:25,BCH/USDT,461.9,461.195,0.705,460.5238,461.8662
2025-06-15 20:14:50,BTC/USDT,105489.57,105528.041,38.471,105497.1857,105558.8963
2025-06-15 20:14:50,XRP/USDT,2.1634,2.165,0.0016,2.1635,2.1665
2025-06-15 20:15:01,XRP/USDT,2.163,2.1649,0.0019,2.1631,2.1667
2025-06-15 20:15:11,BTC/USDT,105476.4,105522.252,45.852,105477.673,105566.831
2025-06-15 20:19:41,ETH/USDT,2548.0,2546.7495,1.2505,2545.5538,2547.9452
2025-06-15 20:21:04,XRP/USDT,2.1652,2.1644,0.0008,2.1635,2.1652
2025-06-15 20:21:25,XRP/USDT,2.1657,2.1645,0.0012,2.1632,2.1657
2025-06-15 20:23:09,BCH/USDT,461.1,460.385,0.715,459.7605,461.0095
2025-06-15 20:23:30,BCH/USDT,461.4,460.445,0.955,459.5364,461.3536
2025-06-15 20:24:22,BTC/USDT,105502.52,105535.633,33.113,105504.1042,105567.1618
2025-06-15 20:24:32,ETH/USDT,2547.13,2549.1275,1.9975,2547.1322,2551.1228
2025-06-15 20:26:47,BCH/USDT,461.8,461.17,0.63,460.6314,461.7086
2025-06-15 20:27:49,LTC/USDT,85.95,85.8935,0.0565,85.8467,85.9403
2025-06-15 20:31:48,BTC/USDT,105589.52,105535.8075,53.7125,105482.3306,105589.2844
2025-06-15 22:13:22,LTC/USDT,86.2,86.15,0.05,86.1094,86.1906
2025-06-15 22:14:04,LTC/USDT,86.26,86.164,0.096,86.0819,86.2461
2025-06-15 22:15:06,ETH/USDT,2552.14,2551.15,0.99,2550.2513,2552.0487
2025-06-15 22:15:27,XRP/USDT,2.1702,2.1693,0.0009,2.1687,2.17
2025-06-15 22:15:27,ETH/USDT,2553.03,2551.3175,1.7125,2549.8857,2552.7493
2025-06-15 22:17:43,BTC/USDT,105519.0,105537.075,18.075,105521.3347,105552.8153
2025-06-15 22:17:54,BTC/USDT,105501.2,105535.45,34.25,105509.955,105560.945
2025-06-15 22:17:54,ETH/USDT,2547.22,2550.9035,3.6835,2547.5125,2554.2945
2025-06-15 22:17:54,XRP/USDT,2.1686,2.1697,0.0011,2.1686,2.1708
2025-06-15 22:18:04,BTC/USDT,105490.8,105533.1,42.3,105497.496,105568.704
2025-06-15 22:18:14,BTC/USDT,105484.9,105530.46,45.56,105485.9734,105574.9466
2025-06-15 22:23:20,BCH/USDT,464.4,464.9,0.5,464.4133,465.3867
2025-06-15 22:25:56,ETH/USDT,2545.44,2547.3775,1.9375,2545.6928,2549.0622
2025-06-15 22:25:56,BTC/USDT,105479.2,105504.15,24.95,105479.7794,105528.5206
2025-06-15 22:25:56,LTC/USDT,86.08,86.1755,0.0955,86.0918,86.2592
2025-06-16 12:39:36,LTC/USDT,87.18,87.341,0.161,87.1882,87.4938
2025-06-16 12:39:36,BCH/USDT,453.8,454.52,0.72,454.0032,455.0368
2025-06-16 12:47:38,XRP/USDT,2.2008,2.1984,0.0024,2.196,2.2007
2025-06-16 12:49:39,BTC/USDT,106915.77,106996.687,80.917,106924.7862,107068.5878
2025-06-16 12:50:39,XRP/USDT,2.2023,2.1987,0.0036,2.1955,2.2019
2025-06-16 13:03:43,ETH/USDT,2625.94,2622.0405,3.8995,2618.4847,2625.5963
